class,precision,recall,f1_score,support
A,1.0,0.98,0.99,1615.0
B,1.0,1.0,1.0,1615.0
C,1.0,1.0,1.0,1615.0
D,0.99,0.97,0.98,1615.0
E,0.98,1.0,0.99,1615.0
F,0.98,1.0,0.99,1615.0
G,0.99,1.0,0.99,1615.0
I,1.0,1.0,1.0,1615.0
L,1.0,0.99,0.99,1615.0
M,1.0,1.0,1.0,1615.0
N,1.0,1.0,1.0,1615.0
O,1.0,1.0,1.0,1615.0
P,0.99,1.0,0.99,1615.0
Q,1.0,1.0,1.0,1615.0
R,0.98,1.0,0.99,1615.0
S,1.0,1.0,1.0,1615.0
T,1.0,0.98,0.99,1614.0
U,1.0,1.0,1.0,1615.0
V,1.0,1.0,1.0,1615.0
W,1.0,1.0,1.0,1615.0
Y,1.0,1.0,1.0,1615.0
